scorer,,,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051
bodyparts,,,beeak,beeak,head,head,body,body,right_wing,right_wing,left_wing,left_wing,tail,tail,right_leg,right_leg,left_leg,left_leg
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,vid2,img021.png,888.2666724624243,297.17277153123933,717.3428287160466,179.42523472817913,671.7631370503459,445.3067694447666,556.5478053398245,349.0829759282873,452.72739654572854,551.6593833314016,579.3376511726749,659.278099764306,635.0461632085313,607.367895367258,,
labeled-data,vid2,img069.png,927.5158224179902,262.9880027819636,746.4631583014568,136.37774815501717,786.9784397820797,418.71861597310766,641.3766469610914,422.51692361191607,576.8054171013487,332.62364282678413,491.97654650129454,511.14410185077855,741.398748116379,561.7882037015572,616.0545960357019,602.3034851821801
labeled-data,vid2,img206.png,1012.3446930180444,226.27102894014917,832.5581314477804,111.05569722962792,773.0513117731157,376.9372319462154,657.8359800625944,440.2423592596886,614.7884934894325,399.7270777790657,578.0715196476181,487.0881534716588,708.4800819133729,575.7153317105212,757.858081217882,531.4017425910899
labeled-data,vid2,img278.png,817.3649008925468,252.85918241180792,654.037672423786,141.44215834009503,560.3460839998456,403.52538541787413,488.1782388624861,440.2423592596886,424.8731115490129,404.79148796414364,369.1645995131565,503.54748657316185,548.9511610834204,580.779741895599,500.83926432518075,613.6984080986051
labeled-data,vid2,img284.png,805.9699779761218,221.2066187550713,670.4970055252891,131.3133379699393,643.9088520536302,336.42195046559254,518.5646999729532,370.60671921486806,470.45280321471364,337.688053011862,374.22900969823434,479.491538194042,516.0324948804143,597.2390749971021,556.5477763610372,559.2559986090182
labeled-data,vid2,img320.png,843.9530543642056,197.15067037595145,690.7546462656005,86.9997488505081,751.5275684865346,356.67959120590393,614.7884934894325,364.27620648352075,467.9205981221747,330.09143773424523,467.9205981221747,457.96779490746104,662.9003902476722,498.48307638808393,551.4833661759594,535.2000502298984
labeled-data,vid2,img361.png,862.9445925582477,246.52866968046055,692.0207488118699,126.24892778486148,728.7377226536844,376.9372319462154,574.2732120088097,440.2423592596886,522.3630076117616,425.049128704455,670.4970055252891,569.384818979174,536.2901356207258,594.7068699045633,,
labeled-data,vid2,img407.png,928.7819249642598,269.31851551331096,767.9869015880377,156.63538889532862,770.5191066805767,406.05759051041304,629.9817240446662,498.48307638808393,552.7494687222288,489.6203585641977,503.3714694177197,536.466152776168,705.9478768208339,592.1746648120243,574.2732120088097,614.9645106448747
