scorer,,,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051,d22cs051
bodyparts,,,beeak,beeak,head,head,body,body,right_wing,right_wing,left_wing,left_wing,tail,tail,right_leg,right_leg,left_leg,left_leg
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,vid3,img0193.png,673.8499821603123,204.26249331513463,698.8638287628523,158.08308420275284,668.0775560212646,462.09752752593295,541.0841809622148,442.8561070624405,798.9192151730128,473.64237980402834,660.3809878358676,564.0770559824426,591.111874167295,627.5737435119676,725.8018174117419,637.1944537437138
labeled-data,vid3,img0283.png,471.815067293642,183.09693080529303,525.6910445914207,142.689947831959,531.4634707304685,362.04214111577244,417.93908999586336,369.73870930116937,639.215425326026,388.9801297646618,514.1461923133252,458.24924343323437,454.49778887649876,519.8217889164101,575.718737796501,544.8356355189502
labeled-data,vid3,img0623.png,558.4014593793579,173.4762205735468,631.518857140629,134.99337964656195,562.2497434720564,365.8904252084709,479.51163547903894,296.6213115398982,704.6362549019002,371.66285134751865,596.8843003063425,419.7664025062496,525.6910445914207,458.24924343323437,637.2912832796767,489.0355161748222
labeled-data,vid3,img1390.png,406.3942377177678,79.193260302434,475.6633513863405,90.73811258052945,502.60134003522984,287.000601308152,587.2635900745963,236.97290810307175,587.2635900745963,290.84888540085046,758.5122321996789,288.9247433545013,556.4773173330086,363.9662831621216,550.7048911939607,388.9801297646618
labeled-data,vid3,img1417.png,277.47672061236864,86.88982848783098,340.9734081418936,106.13124895132341,379.45624906887844,300.4695956325967,487.20820366443587,283.15231721545354,460.2702150155465,331.2558683741845,675.7741242066616,356.2697149767248,458.3460729691974,396.6766979500588,446.8012206911019,417.8422604599004
labeled-data,vid3,img1432.png,435.2563684130065,171.5520785271976,491.0564877571345,163.85551034180068,537.2358968695162,396.67669795005884,614.2015787234859,350.49728883767705,589.1877321209457,400.5249820427573,775.8295106168222,421.690544552599,562.2497434720564,458.2492434332346,537.2358968695162,489.0355161748224
labeled-data,vid3,img2056.png,221.6766012682407,225.42805582497638,281.32500470506716,200.41420922243623,296.7181410758611,388.98012976466185,408.31837976411714,373.5869933938679,391.0011013469739,419.7664025062497,639.215425326026,465.9458116186315,371.75968088348156,492.8838002675208,367.911396790783,542.9114934726011
labeled-data,vid3,img2331.png,281.32500470506716,213.8832035468809,333.2768399564967,173.47622057354687,391.0011013469739,394.7525559037095,498.75305594253143,373.58699339386794,469.8909252472928,435.15953887704364,691.1672605774555,467.8699536649807,437.1805104593557,483.2630900357746,408.31837976411714,542.9114934726011
